# SISYPHUS V4.9.2
#
# Force model: Direct  Coords: Sim:Helio  Input:Helio  Output:Helio
# Files: setup:sisyphus.setup  system: cdr.A2017U1_100clones 
# Unique  DTG:2019Feb07-115219
# N_particles 100  N_planets 9   TESTING 0  User signal 10
# Steps/output 365  Outputs/dump 100   Ndumps 100 
# G=39.4784  M_central = 1  M_tot = 1.00134
# Machine epsilon 1.11022e-15  Energy0 0
# autorandom seed: OFF seed -3753
# Initial time 0 (JD 2458080.5000000000) Softening  0 
# dt -0.002737799079448403 (              -1 d)
# Output starts JD     0.0000000000 days_per_tu/days_per_yr = 1
# Earth (Earth+Moon) is body 2, reference planet (Earth+Moon) is body 2
# Observer: lat +0.00 deg  lon: 0.00 deg  alt: -6371000.0 m 
# Neaten ephemeris by starting on the hour: OFF
# P-R/solar wind drag and radiation pressure are all OFF
# Output planets? 0  Dead particles? OFF  Header? ON  verbose=1
# MOID calculation relative to body 2 (Earth+Moon) is OFF 
# Non-gravitational forces are OFF
# J2 forces are OFF
# Meteoroid ejection is OFF, logging is ON
# Meteor radiant computation is OFF relative to Earth+Moon
# Ejecta production is OFF
# Ingestion of a body during simulation is OFF
# Drag-induced NG forces are OFF
# Minimization output is OFF
# Strict velocities for PR, drag and NG are OFF
# Output elements are computed relative to body -1 (Sun)
# Graveyard: OFF recording of close apps: ON
# Checkpoint files: OFF in directory: ./
# sizeof(): State:48  ParticleData:400  CollData:144  CloseAppData:48
# INTEGRATOR: RADAU
#  RADAU class 2  LL: 12.000000
# post-Newtonian correction: ON
# Density map: OFF  N_r 20 N_theta 36 min_r 0 max_r 2
# Particles removed inside 0.05 and outside 1e+06 from Sun 
# Particles removed inside 0 and outside 1e+06 from Sun 
# Maximum number of particles output: 10000
# Special output formats: POVRAY:0  multisystem:OFF
#      jeremie:OFF
# (output only: km_per_lu 1.49598e+08  days_per_tu 365.257)
# Sample particle 50 has R= 5.55e-16 (8.30e-08 km)  m=0.00e+00 (0.00e+00 M_E) 
t id a e incl lasc aper meanan truean x y z vx vy vz RA Dec name 
-9992.966639 40 -1.27194 18.8405 116.931 335.612 162.89 -2.50756e+06 -93.0179 7673.18 -29475.5 46606.6 -0.00210817 0.00807671 -0.0127663 279.555 33.878 A2017U1_000031 
-9992.966639 41 -1.27201 18.8394 116.93 335.612 162.888 -2.50738e+06 -93.0181 7674.9 -29474.5 46605.3 -0.00210864 0.00807643 -0.012766 279.557 33.8779 A2017U1_000032 
-9992.966639 42 -1.27205 18.8387 116.929 335.612 162.888 -2.50726e+06 -93.0182 7675.72 -29473.4 46604.8 -0.00210887 0.00807613 -0.0127658 279.558 33.8785 A2017U1_000033 
-9992.966639 43 -1.27184 18.8422 116.934 335.611 162.891 -2.50786e+06 -93.0176 7671.15 -29478 46607.9 -0.00210761 0.00807741 -0.0127667 279.552 33.8767 A2017U1_000034 
-9992.966639 44 -1.27202 18.8392 116.93 335.612 162.888 -2.50734e+06 -93.0181 7674.91 -29473.7 46605.4 -0.00210864 0.00807622 -0.012766 279.557 33.8787 A2017U1_000035 
-9992.966639 45 -1.27203 18.839 116.929 335.612 162.888 -2.5073e+06 -93.0181 7675.13 -29473.4 46605.3 -0.0021087 0.00807613 -0.012766 279.558 33.8788 A2017U1_000036 
-9992.966639 46 -1.27174 18.8439 116.936 335.611 162.893 -2.50815e+06 -93.0174 7668.8 -29480.2 46609.5 -0.00210697 0.008078 -0.0127671 279.548 33.8759 A2017U1_000037 
-9992.966639 47 -1.2719 18.8412 116.932 335.612 162.89 -2.50768e+06 -93.0178 7672.22 -29476.3 46607.3 -0.00210791 0.00807693 -0.0127665 279.553 33.8777 A2017U1_000038 
-9992.966639 48 -1.27216 18.8369 116.927 335.612 162.886 -2.50693e+06 -93.0185 7678.06 -29470.6 46603.3 -0.00210951 0.00807537 -0.0127654 279.562 33.8798 A2017U1_000039 
-9992.966639 49 -1.2721 18.8378 116.928 335.612 162.887 -2.5071e+06 -93.0183 7676.86 -29472.1 46604 -0.00210918 0.00807577 -0.0127656 279.56 33.8791 A2017U1_000040 
-9992.966639 50 -1.27201 18.8394 116.93 335.612 162.888 -2.50737e+06 -93.0181 7674.77 -29474.1 46605.5 -0.00210861 0.00807632 -0.012766 279.557 33.8784 A2017U1_000041 
-9992.966639 51 -1.27215 18.837 116.927 335.612 162.886 -2.50696e+06 -93.0185 7678.12 -29471.4 46603.1 -0.00210952 0.00807558 -0.0127654 279.562 33.879 A2017U1_000042 
-9992.966639 52 -1.27201 18.8395 116.93 335.612 162.889 -2.50738e+06 -93.0181 7674.5 -29474 46605.7 -0.00210853 0.0080763 -0.0127661 279.557 33.8786 A2017U1_000043 
-9992.966639 53 -1.2719 18.8412 116.932 335.612 162.89 -2.50768e+06 -93.0178 7672.41 -29476.6 46607.1 -0.00210796 0.008077 -0.0127664 279.554 33.8773 A2017U1_000044 
-9992.966639 54 -1.272 18.8396 116.93 335.612 162.889 -2.50739e+06 -93.0181 7674.43 -29474.2 46605.7 -0.00210851 0.00807635 -0.0127661 279.557 33.8785 A2017U1_000045 
-9992.966639 55 -1.27197 18.84 116.931 335.612 162.889 -2.50747e+06 -93.018 7674.1 -29475 46605.9 -0.00210842 0.00807659 -0.0127661 279.556 33.8779 A2017U1_000046 
-9992.966639 56 -1.27205 18.8388 116.929 335.612 162.888 -2.50726e+06 -93.0182 7675.42 -29473.1 46605.1 -0.00210878 0.00807605 -0.0127659 279.558 33.8789 A2017U1_000047 
-9992.966639 57 -1.27198 18.8398 116.931 335.612 162.889 -2.50744e+06 -93.018 7674.2 -29474.7 46605.8 -0.00210845 0.00807649 -0.0127661 279.556 33.8781 A2017U1_000048 
-9992.966639 58 -1.27209 18.838 116.928 335.612 162.887 -2.50712e+06 -93.0183 7676.62 -29472.1 46604.2 -0.00210911 0.00807579 -0.0127657 279.56 33.8792 A2017U1_000049 
-9992.966639 59 -1.27218 18.8365 116.926 335.612 162.886 -2.50687e+06 -93.0185 7678.52 -29470 46603 -0.00210963 0.00807522 -0.0127653 279.563 33.8801 A2017U1_000050 
-9992.966639 60 -1.27204 18.8388 116.929 335.612 162.888 -2.50727e+06 -93.0182 7675.53 -29473.3 46605 -0.00210881 0.00807611 -0.0127659 279.558 33.8787 A2017U1_000051 
-9992.966639 61 -1.27198 18.8398 116.931 335.612 162.889 -2.50744e+06 -93.018 7674.24 -29474.7 46605.8 -0.00210846 0.0080765 -0.0127661 279.556 33.8781 A2017U1_000052 
-9992.966639 62 -1.27192 18.8409 116.932 335.612 162.89 -2.50762e+06 -93.0178 7672.76 -29476.1 46606.8 -0.00210806 0.00807688 -0.0127664 279.554 33.8776 A2017U1_000053 
-9992.966639 63 -1.27193 18.8407 116.932 335.612 162.89 -2.5076e+06 -93.0179 7672.92 -29475.8 46606.7 -0.0021081 0.0080768 -0.0127664 279.554 33.8778 A2017U1_000054 
-9992.966639 64 -1.272 18.8397 116.93 335.612 162.889 -2.50741e+06 -93.018 7674.11 -29474.1 46605.9 -0.00210842 0.00807633 -0.0127661 279.556 33.8787 A2017U1_000055 
-9992.966639 65 -1.27206 18.8386 116.929 335.612 162.888 -2.50722e+06 -93.0182 7675.83 -29472.9 46604.8 -0.0021089 0.008076 -0.0127658 279.559 33.8789 A2017U1_000056 
-9992.966639 66 -1.272 18.8395 116.93 335.612 162.889 -2.50739e+06 -93.0181 7674.56 -29474.2 46605.7 -0.00210855 0.00807636 -0.0127661 279.557 33.8784 A2017U1_000057 
-9992.966639 67 -1.27205 18.8387 116.929 335.612 162.888 -2.50725e+06 -93.0182 7675.59 -29473 46604.9 -0.00210883 0.00807603 -0.0127659 279.558 33.8789 A2017U1_000058 
-9992.966639 68 -1.272 18.8395 116.93 335.612 162.889 -2.50738e+06 -93.0181 7674.54 -29474.1 46605.6 -0.00210854 0.00807632 -0.0127661 279.557 33.8785 A2017U1_000059 
-9992.966639 69 -1.27203 18.8391 116.929 335.612 162.888 -2.50731e+06 -93.0181 7675.09 -29473.4 46605.3 -0.00210869 0.00807614 -0.012766 279.558 33.8788 A2017U1_000060 
-9992.966639 70 -1.27208 18.8382 116.928 335.612 162.887 -2.50715e+06 -93.0183 7676.26 -29472.2 46604.5 -0.00210901 0.00807582 -0.0127657 279.559 33.8793 A2017U1_000061 
-9992.966639 71 -1.27208 18.8382 116.929 335.612 162.887 -2.50716e+06 -93.0183 7676.5 -29472.6 46604.3 -0.00210908 0.00807593 -0.0127657 279.56 33.8788 A2017U1_000062 
-9992.966639 72 -1.27195 18.8405 116.931 335.612 162.89 -2.50755e+06 -93.0179 7673.3 -29475.5 46606.5 -0.0021082 0.0080767 -0.0127663 279.555 33.8779 A2017U1_000063 
-9992.966639 73 -1.27205 18.8387 116.929 335.612 162.887 -2.50725e+06 -93.0182 7675.84 -29473.3 46604.7 -0.0021089 0.00807611 -0.0127658 279.559 33.8785 A2017U1_000064 
-9992.966639 74 -1.27218 18.8365 116.926 335.612 162.885 -2.50687e+06 -93.0185 7678.62 -29470.2 46602.9 -0.00210966 0.00807526 -0.0127653 279.563 33.8799 A2017U1_000065 
-9992.966639 75 -1.27205 18.8387 116.929 335.612 162.888 -2.50724e+06 -93.0182 7675.77 -29473.2 46604.8 -0.00210888 0.00807607 -0.0127658 279.559 33.8787 A2017U1_000066 
-9992.966639 76 -1.27211 18.8376 116.928 335.612 162.887 -2.50706e+06 -93.0184 7677.08 -29471.7 46603.9 -0.00210924 0.00807566 -0.0127656 279.561 33.8794 A2017U1_000067 
